x:141.10000610351562, y:293.1000061035156, score:(0, 0, 128)
x:261.1000061035156, y:345.1000061035156, score:(0, 0, 128)
x:141.10000610351562, y:293.1000061035156, score:(0, 0, 128)
x:261.1000061035156, y:345.1000061035156, score:(0, 0, 128)
x:141.10000610351562, y:293.1000061035156, score:(0, 0, 128)
x:261.1000061035156, y:345.1000061035156, score:(0, 0, 128)
x:141.10000610351562, y:293.1000061035156, score:(0, 0, 128)
x:261.1000061035156, y:345.1000061035156, score:(0, 0, 128)
x:141.10000610351562, y:293.1000061035156, score:(0, 0, 128)
x:261.1000061035156, y:345.1000061035156, score:(0, 0, 128)
x:39.006011302654564, y:133.16322392683762, score:(0, 0, 128)
x:72.17908822573149, y:156.78822392683762, score:(0, 0, 128)
x:39.006011302654564, y:133.16322392683762, score:(0, 0, 128)
x:72.17908822573149, y:156.78822392683762, score:(0, 0, 128)
x:39.006011302654564, y:133.16322392683762, score:(0, 0, 128)
x:72.17908822573149, y:156.78822392683762, score:(0, 0, 128)
