x:264.8754866673396, y:219.18702507019043, score:(0, 0, 128)
x:44.54855621778048, y:17.31682728804075, score:(0, 0, 128)
x:160.51010205195502, y:50.802402386298546, score:(0, 0, 128)
x:70.63990237162663, y:201.00914045480582, score:(0, 0, 128)
x:86.1014408331651, y:319.6437558394212, score:(0, 0, 128)
x:194.3322174365704, y:207.7062558394212, score:(0, 0, 128)
x:333.48606359041656, y:277.5476019932674, score:(0, 0, 128)
x:101.56297929470355, y:376.0908712240366, score:(0, 0, 128)
x:318.0245251288781, y:96.72547930937547, score:(0, 0, 128)
x:268.74087128272424, y:92.89855623245239, score:(0, 0, 128)
x:264.8754866673396, y:219.18702507019043, score:(0, 0, 128)
x:44.54855621778048, y:17.31682728804075, score:(0, 0, 128)
x:160.51010205195502, y:50.802402386298546, score:(0, 0, 128)
x:70.63990237162663, y:201.00914045480582, score:(0, 0, 128)
x:86.1014408331651, y:319.6437558394212, score:(0, 0, 128)
x:194.3322174365704, y:207.7062558394212, score:(0, 0, 128)
x:333.48606359041656, y:277.5476019932674, score:(0, 0, 128)
x:101.56297929470355, y:376.0908712240366, score:(0, 0, 128)
x:318.0245251288781, y:96.72547930937547, score:(0, 0, 128)
x:268.74087128272424, y:92.89855623245239, score:(0, 0, 128)
x:264.8754866673396, y:219.18702507019043, score:(0, 0, 128)
x:44.54855621778048, y:17.31682728804075, score:(0, 0, 128)
x:160.51010205195502, y:50.802402386298546, score:(0, 0, 128)
x:70.63990237162663, y:201.00914045480582, score:(0, 0, 128)
x:86.1014408331651, y:319.6437558394212, score:(0, 0, 128)
