x:97.8882228411161, y:177.23293546529916, score:(0, 0, 128)
x:73.28485745650072, y:155.42524315760684, score:(0, 0, 128)
x:73.28485745650072, y:42.752162768290596, score:(0, 0, 128)
x:98.99399207188533, y:9.586298250235044, score:(0, 0, 128)
x:39.28245361034687, y:133.61755084991455, score:(0, 0, 128)
x:97.8882228411161, y:177.23293546529916, score:(0, 0, 128)
x:73.28485745650072, y:155.42524315760684, score:(0, 0, 128)
x:73.28485745650072, y:42.752162768290596, score:(0, 0, 128)
x:98.99399207188533, y:9.586298250235044, score:(0, 0, 128)
x:39.28245361034687, y:133.61755084991455, score:(0, 0, 128)
x:97.8882228411161, y:177.23293546529916, score:(0, 0, 128)
x:73.28485745650072, y:155.42524315760684, score:(0, 0, 128)
x:73.28485745650072, y:42.752162768290596, score:(0, 0, 128)
x:98.99399207188533, y:9.586298250235044, score:(0, 0, 128)
x:39.28245361034687, y:133.61755084991455, score:(0, 0, 128)
x:99.82331899496226, y:18.67283584521367, score:(0, 0, 128)
x:11.63822073202867, y:95.45408931145302, score:(0, 0, 128)
